Date,Price,Open,High,Low,Change %,days
10/19/2011,1.3756,1.3739,1.387,1.3725,0.12%,3078
10/20/2011,1.3777,1.3756,1.3845,1.3657,0.15%,3079
10/21/2011,1.3896,1.3775,1.3903,1.3705,0.86%,3080
10/24/2011,1.3925,1.3864,1.3956,1.3821,0.21%,3081
10/25/2011,1.3906,1.3931,1.3962,1.3849,-0.14%,3082
10/26/2011,1.3902,1.3912,1.3977,1.3799,-0.03%,3083
10/27/2011,1.4192,1.3884,1.4249,1.3865,2.09%,3084
10/28/2011,1.4148,1.4183,1.4202,1.4135,-0.31%,3085
10/31/2011,1.3857,1.415,1.4171,1.3828,-2.06%,3086
11/1/2011,1.3696,1.3857,1.3873,1.361,-1.16%,3087
11/2/2011,1.3746,1.3695,1.383,1.3636,0.37%,3088
11/3/2011,1.3815,1.375,1.3855,1.3655,0.50%,3089
11/4/2011,1.3796,1.3813,1.3868,1.3712,-0.14%,3090
11/7/2011,1.3776,1.3837,1.3838,1.368,-0.14%,3091
11/8/2011,1.3838,1.3776,1.3848,1.3723,0.45%,3092
11/9/2011,1.3546,1.3836,1.3859,1.3523,-2.11%,3093
11/10/2011,1.3603,1.3546,1.3655,1.3483,0.42%,3094
11/11/2011,1.3752,1.3601,1.3798,1.3579,1.10%,3095
11/14/2011,1.3626,1.3809,1.3813,1.3592,-0.92%,3096
11/15/2011,1.3533,1.3632,1.3641,1.3497,-0.68%,3097
11/16/2011,1.3463,1.3536,1.3559,1.3428,-0.52%,3098
11/17/2011,1.346,1.3457,1.354,1.342,-0.02%,3099
11/18/2011,1.351,1.346,1.3615,1.3447,0.37%,3100
11/21/2011,1.3495,1.3507,1.3541,1.343,-0.11%,3101
11/22/2011,1.3514,1.3493,1.3569,1.3468,0.14%,3102
11/23/2011,1.3335,1.351,1.3533,1.332,-1.32%,3103
11/24/2011,1.335,1.3345,1.3413,1.3317,0.11%,3104
11/25/2011,1.3234,1.3346,1.3356,1.3211,-0.87%,3105
11/28/2011,1.331,1.3319,1.34,1.3273,0.57%,3106
11/29/2011,1.3331,1.3314,1.3445,1.3287,0.16%,3107
11/30/2011,1.3443,1.3317,1.3533,1.326,0.84%,3108
12/1/2011,1.3464,1.3437,1.3522,1.3416,0.16%,3109
12/2/2011,1.3403,1.3463,1.3549,1.3362,-0.45%,3110
12/5/2011,1.3403,1.3436,1.3487,1.3375,0.00%,3111
12/6/2011,1.3403,1.339,1.3428,1.3333,0.00%,3112
12/7/2011,1.3413,1.3397,1.3455,1.335,0.07%,3113
12/8/2011,1.3346,1.3413,1.346,1.3289,-0.50%,3114
12/9/2011,1.3375,1.3344,1.3436,1.3283,0.22%,3115
12/12/2011,1.3186,1.3384,1.3388,1.3163,-1.41%,3116
12/13/2011,1.3034,1.3188,1.3237,1.3007,-1.15%,3117
12/14/2011,1.2981,1.303,1.3064,1.2945,-0.41%,3118
12/15/2011,1.3018,1.2982,1.3051,1.2957,0.29%,3119
12/16/2011,1.3035,1.302,1.3087,1.2997,0.13%,3120
12/19/2011,1.2995,1.3043,1.3044,1.2981,-0.31%,3121
12/20/2011,1.3079,1.3003,1.3133,1.2994,0.65%,3122
12/21/2011,1.3045,1.3079,1.3197,1.3024,-0.26%,3123
12/22/2011,1.3051,1.3047,1.3121,1.3018,0.05%,3124
12/23/2011,1.3043,1.3051,1.3098,1.3026,-0.06%,3125
12/26/2011,1.306,1.3046,1.3084,1.3032,0.13%,3126
12/27/2011,1.3068,1.3062,1.3083,1.3041,0.06%,3127
12/28/2011,1.2936,1.307,1.3081,1.291,-1.01%,3128
12/29/2011,1.2962,1.2939,1.2965,1.2857,0.20%,3129
12/30/2011,1.2948,1.2963,1.3001,1.2904,-0.11%,3130
1/2/2012,1.2929,1.2938,1.2968,1.2916,-0.15%,3131
1/3/2012,1.3051,1.2933,1.3077,1.2931,0.94%,3132
1/4/2012,1.2942,1.3051,1.3074,1.2898,-0.84%,3133
1/5/2012,1.278,1.2944,1.2948,1.2769,-1.25%,3134
1/6/2012,1.2721,1.2788,1.2812,1.2696,-0.46%,3135
1/9/2012,1.2767,1.2693,1.2788,1.2666,0.36%,3136
1/10/2012,1.2772,1.2766,1.2819,1.2742,0.04%,3137
1/11/2012,1.2704,1.2774,1.279,1.2662,-0.53%,3138
1/12/2012,1.2826,1.2706,1.2845,1.2698,0.96%,3139
1/13/2012,1.2677,1.2822,1.2879,1.2624,-1.16%,3140
1/16/2012,1.2664,1.2639,1.2689,1.2626,-0.10%,3141
1/17/2012,1.274,1.2664,1.2811,1.2649,0.60%,3142
1/18/2012,1.2854,1.2736,1.2864,1.2732,0.89%,3143
1/19/2012,1.2965,1.2858,1.2971,1.2837,0.86%,3144
1/20/2012,1.2938,1.2967,1.2986,1.2887,-0.21%,3145
1/23/2012,1.303,1.2872,1.3054,1.2872,0.71%,3146
1/24/2012,1.3022,1.3028,1.3064,1.2954,-0.06%,3147
1/25/2012,1.311,1.3028,1.3121,1.2929,0.68%,3148
1/26/2012,1.31,1.3104,1.3186,1.3091,-0.08%,3149
1/27/2012,1.3226,1.3106,1.323,1.3077,0.96%,3150
1/30/2012,1.3127,1.3226,1.3232,1.3076,-0.75%,3151
1/31/2012,1.3079,1.3135,1.3213,1.3041,-0.37%,3152
2/1/2012,1.3159,1.3081,1.3218,1.3024,0.61%,3153
2/2/2012,1.3146,1.3161,1.3197,1.3085,-0.10%,3154
2/3/2012,1.3144,1.3144,1.3205,1.3066,-0.02%,3155
2/6/2012,1.3134,1.3114,1.3144,1.3029,-0.08%,3156
2/7/2012,1.3266,1.3135,1.3272,1.3087,1.01%,3157
2/8/2012,1.3258,1.326,1.3291,1.3218,-0.06%,3158
2/9/2012,1.3283,1.3262,1.3323,1.3215,0.19%,3159
2/10/2012,1.3175,1.3284,1.3293,1.3155,-0.81%,3160
2/13/2012,1.3194,1.3208,1.3284,1.3187,0.14%,3161
2/14/2012,1.3119,1.3193,1.3217,1.3079,-0.57%,3162
2/15/2012,1.3071,1.3126,1.3191,1.3044,-0.37%,3163
2/16/2012,1.3141,1.3067,1.3161,1.2975,0.54%,3164
2/17/2012,1.3152,1.3133,1.3199,1.3114,0.08%,3165
2/20/2012,1.324,1.3185,1.3277,1.3173,0.67%,3166
2/21/2012,1.3241,1.3246,1.3294,1.3186,0.01%,3167
2/22/2012,1.3245,1.3236,1.3268,1.3211,0.03%,3168
2/23/2012,1.3369,1.3245,1.3375,1.323,0.94%,3169
2/24/2012,1.3457,1.3375,1.3489,1.3357,0.66%,3170
2/27/2012,1.34,1.3464,1.3479,1.3365,-0.42%,3171
2/28/2012,1.347,1.3396,1.3472,1.3388,0.52%,3172
2/29/2012,1.3326,1.3466,1.3487,1.3315,-1.07%,3173
3/1/2012,1.3312,1.3327,1.3357,1.3281,-0.11%,3174
3/2/2012,1.3203,1.3314,1.3335,1.3188,-0.82%,3175
3/5/2012,1.3218,1.319,1.3241,1.3159,0.11%,3176
3/6/2012,1.3115,1.322,1.3227,1.3102,-0.78%,3177
3/7/2012,1.315,1.3116,1.3165,1.3096,0.27%,3178
3/8/2012,1.3271,1.3147,1.3292,1.3134,0.92%,3179
3/9/2012,1.3114,1.3281,1.3283,1.3096,-1.18%,3180
3/12/2012,1.3155,1.3112,1.316,1.3079,0.31%,3181
3/13/2012,1.3084,1.315,1.3193,1.3052,-0.54%,3182
3/14/2012,1.3029,1.3078,1.3092,1.301,-0.42%,3183
3/15/2012,1.3083,1.303,1.312,1.3003,0.41%,3184
3/16/2012,1.3175,1.3083,1.3189,1.3048,0.70%,3185
3/19/2012,1.3241,1.318,1.3266,1.3142,0.50%,3186
3/20/2012,1.3225,1.3239,1.3253,1.3172,-0.12%,3187
3/21/2012,1.3212,1.3224,1.3285,1.3178,-0.10%,3188
3/22/2012,1.3198,1.321,1.3256,1.3135,-0.11%,3189
3/23/2012,1.3273,1.3198,1.3295,1.319,0.57%,3190
3/26/2012,1.3358,1.3272,1.3368,1.3191,0.64%,3191
3/27/2012,1.3318,1.3354,1.3386,1.3311,-0.30%,3192
3/28/2012,1.3317,1.3318,1.3376,1.3277,-0.01%,3193
3/29/2012,1.3302,1.3316,1.3346,1.3251,-0.11%,3194
3/30/2012,1.3344,1.3299,1.3377,1.3296,0.32%,3195
4/2/2012,1.3323,1.3359,1.3382,1.3277,-0.16%,3196
4/3/2012,1.3234,1.332,1.3368,1.3213,-0.67%,3197
4/4/2012,1.3142,1.3232,1.3238,1.3106,-0.70%,3198
4/5/2012,1.3064,1.314,1.3165,1.3034,-0.59%,3199
4/6/2012,1.3096,1.3064,1.3114,1.3052,0.24%,3200
4/9/2012,1.3102,1.3102,1.3135,1.3034,0.05%,3201
4/10/2012,1.3081,1.3107,1.3145,1.3053,-0.16%,3202
4/11/2012,1.311,1.3082,1.3157,1.3065,0.22%,3203
4/12/2012,1.3186,1.3108,1.3213,1.31,0.58%,3204
4/13/2012,1.3077,1.3186,1.3203,1.307,-0.83%,3205
4/16/2012,1.3139,1.3066,1.3148,1.2994,0.47%,3206
4/17/2012,1.3125,1.3136,1.3174,1.309,-0.11%,3207
4/18/2012,1.3121,1.3127,1.3142,1.3058,-0.03%,3208
4/19/2012,1.3136,1.3122,1.3166,1.307,0.11%,3209
4/20/2012,1.3224,1.3137,1.3228,1.3129,0.67%,3210
4/23/2012,1.3155,1.3192,1.3211,1.3104,-0.52%,3211
4/24/2012,1.3194,1.3157,1.3218,1.3144,0.30%,3212
4/25/2012,1.3223,1.3195,1.3236,1.3174,0.22%,3213
4/26/2012,1.3209,1.3222,1.3264,1.3199,-0.11%,3214
4/27/2012,1.3255,1.3191,1.3273,1.3157,0.35%,3215
4/30/2012,1.3241,1.3239,1.3266,1.3207,-0.11%,3216
5/1/2012,1.3239,1.3243,1.3285,1.3205,-0.02%,3217
5/2/2012,1.3157,1.3239,1.3244,1.3124,-0.62%,3218
5/3/2012,1.3152,1.3154,1.3182,1.3099,-0.04%,3219
5/4/2012,1.3083,1.3152,1.318,1.3079,-0.52%,3220
5/7/2012,1.3054,1.303,1.3067,1.2957,-0.22%,3221
5/8/2012,1.3003,1.3058,1.3066,1.2982,-0.39%,3222
5/9/2012,1.2933,1.2999,1.3005,1.291,-0.54%,3223
5/10/2012,1.2936,1.2931,1.298,1.2923,0.02%,3224
5/11/2012,1.2917,1.2933,1.2959,1.2905,-0.15%,3225
5/14/2012,1.2826,1.2882,1.2905,1.282,-0.70%,3226
5/15/2012,1.2731,1.2824,1.287,1.2721,-0.74%,3227
5/16/2012,1.2716,1.2732,1.276,1.268,-0.12%,3228
5/17/2012,1.2694,1.2716,1.275,1.2666,-0.17%,3229
5/18/2012,1.2783,1.2685,1.2795,1.2641,0.70%,3230
5/21/2012,1.2814,1.2784,1.2827,1.2726,0.24%,3231
5/22/2012,1.2684,1.2814,1.2819,1.2658,-1.01%,3232
5/23/2012,1.2586,1.2687,1.2689,1.2546,-0.77%,3233
5/24/2012,1.2536,1.259,1.262,1.2515,-0.40%,3234
5/25/2012,1.2517,1.2541,1.2604,1.2497,-0.15%,3235
5/28/2012,1.2542,1.2567,1.2626,1.2525,0.20%,3236
5/29/2012,1.2498,1.2542,1.2576,1.2463,-0.35%,3237
5/30/2012,1.237,1.2485,1.2494,1.2361,-1.02%,3238
5/31/2012,1.2359,1.2367,1.243,1.2338,-0.09%,3239
6/1/2012,1.2435,1.2361,1.2458,1.2288,0.61%,3240
6/4/2012,1.2498,1.2433,1.2511,1.2386,0.51%,3241
6/5/2012,1.2454,1.2494,1.2543,1.241,-0.35%,3242
6/6/2012,1.2572,1.2452,1.2586,1.2439,0.95%,3243
6/7/2012,1.2562,1.2579,1.2627,1.254,-0.08%,3244
6/8/2012,1.2517,1.2563,1.2576,1.2435,-0.36%,3245
6/11/2012,1.2475,1.2658,1.2668,1.2471,-0.34%,3246
6/12/2012,1.2513,1.2466,1.253,1.2441,0.30%,3247
6/13/2012,1.2556,1.2506,1.2611,1.2473,0.34%,3248
6/14/2012,1.2631,1.2565,1.2638,1.2542,0.60%,3249
6/15/2012,1.2638,1.2628,1.2666,1.2592,0.06%,3250
6/18/2012,1.2576,1.2721,1.2748,1.2557,-0.49%,3251
6/19/2012,1.2688,1.2575,1.2731,1.2568,0.89%,3252
6/20/2012,1.2704,1.2687,1.2744,1.2637,0.13%,3253
6/21/2012,1.2544,1.2706,1.2706,1.2531,-1.26%,3254
6/22/2012,1.257,1.2548,1.2585,1.252,0.21%,3255
6/25/2012,1.2505,1.2553,1.2559,1.2471,-0.52%,3256
6/26/2012,1.249,1.2502,1.2531,1.2442,-0.12%,3257
6/27/2012,1.247,1.2492,1.2511,1.2445,-0.16%,3258
6/28/2012,1.244,1.2471,1.2526,1.2407,-0.24%,3259
6/29/2012,1.266,1.2441,1.2694,1.2434,1.77%,3260
7/2/2012,1.2586,1.2671,1.2673,1.2567,-0.58%,3261
